arquivo,classe,titulo,autor,licenca,pagina
asfalto/asfalto_02.jpg,asfalto,File:Asphalt 02 diff 8k (Rob Tuytel via Poly Haven).png,Rob Tuytel (https://polyhaven.com/all?a=Rob%20Tuytel / https://web.archive.org/web/20230910162834/https://polyhaven.com/all?a=Rob%20Tuytel) via Poly Haven,CC0,https://commons.wikimedia.org/wiki/File:Asphalt_02_diff_8k_(Rob_Tuytel_via_Poly_Haven).png
asfalto/asfalto_11.jpg,asfalto,File:Asphalt 06 diff 8k (Jan Martens via Poly Haven).jpg,Jan Martens,CC0,https://commons.wikimedia.org/wiki/File:Asphalt_06_diff_8k_(Jan_Martens_via_Poly_Haven).jpg
asfalto/asfalto_13.jpg,asfalto,File:Patched asphalt surface near Trebež.jpg,Mnalis,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Patched_asphalt_surface_near_Trebe%C5%BE.jpg
brita/brita_00.jpg,brita,File:Gravel road (close-up).jpg,Poxnar,CC0,https://commons.wikimedia.org/wiki/File:Gravel_road_(close-up).jpg
brita/brita_06.jpg,brita,File:Crushed Granite Texture.jpg,Paul The Writer,CC0,https://commons.wikimedia.org/wiki/File:Crushed_Granite_Texture.jpg
brita/brita_07.jpg,brita,File:Sunlit Crushed Stones.jpg,Paul The Writer,CC0,https://commons.wikimedia.org/wiki/File:Sunlit_Crushed_Stones.jpg
calcada/calcada_01.jpg,calcada,File:Sidewalk (219280335).jpeg,Francisco Anzola,CC BY 3.0,https://commons.wikimedia.org/wiki/File:Sidewalk_(219280335).jpeg
calcada/calcada_02.jpg,calcada,"File:Pretty, slippery Lisbon sidewalk (40884224483).jpg",MollySVH,CC BY 2.0,"https://commons.wikimedia.org/wiki/File:Pretty,_slippery_Lisbon_sidewalk_(40884224483).jpg"
calcada/calcada_03.jpg,calcada,File:Broken sidewalk LA.jpg,Downtowngal,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Broken_sidewalk_LA.jpg
calcada/calcada_09.jpg,calcada,File:Checkered pavement tiles diff 16k (Amal Kumar via Poly Haven).jpg,Amal Kumar,CC0,https://commons.wikimedia.org/wiki/File:Checkered_pavement_tiles_diff_16k_(Amal_Kumar_via_Poly_Haven).jpg
calcada/calcada_10.jpg,calcada,File:Checkered pavement tiles disp 16k (Amal Kumar via Poly Haven).jpg,Amal Kumar,CC0,https://commons.wikimedia.org/wiki/File:Checkered_pavement_tiles_disp_16k_(Amal_Kumar_via_Poly_Haven).jpg
concreto/concreto_00.jpg,concreto,File:Concrete aggregate grinding.JPG,?,Public domain,https://commons.wikimedia.org/wiki/File:Concrete_aggregate_grinding.JPG
concreto/concreto_05.jpg,concreto,File:Grey speckled rough moderately worn grubby seamless concrete building wall texture.jpg,Sisters.seamless,CC0,https://commons.wikimedia.org/wiki/File:Grey_speckled_rough_moderately_worn_grubby_seamless_concrete_building_wall_texture.jpg
concreto/concreto_06.jpg,concreto,File:Tan taupe speckled rough moderately worn grubby seamless concrete building wall texture.jpg,Sisters.seamless,CC0,https://commons.wikimedia.org/wiki/File:Tan_taupe_speckled_rough_moderately_worn_grubby_seamless_concrete_building_wall_texture.jpg
concreto/concreto_08.jpg,concreto,File:Eroded top edge light grey painted bumpy moderately discolored grubby grungy concrete building wall texture.jpg,Sisters.seamless,CC0,https://commons.wikimedia.org/wiki/File:Eroded_top_edge_light_grey_painted_bumpy_moderately_discolored_grubby_grungy_concrete_building_wall_texture.jpg
concreto/concreto_11.jpg,concreto,File:Surfaces concrete pattern on the ground.JPG,Tomwsulcer,CC0,https://commons.wikimedia.org/wiki/File:Surfaces_concrete_pattern_on_the_ground.JPG
madeira/madeira_00.jpg,madeira,File:Blue Wooden Wall (Unsplash).jpg,Math builtbymath,CC0,https://commons.wikimedia.org/wiki/File:Blue_Wooden_Wall_(Unsplash).jpg
madeira/madeira_01.jpg,madeira,File:Pine plank fence 2019 G1.jpg,George Chernilevsky,Public domain,https://commons.wikimedia.org/wiki/File:Pine_plank_fence_2019_G1.jpg
madeira/madeira_08.jpg,madeira,File:Blue painted planks rough 8k (Rob Tuytel via Poly Haven).png,Rob Tuytel,CC0,https://commons.wikimedia.org/wiki/File:Blue_painted_planks_rough_8k_(Rob_Tuytel_via_Poly_Haven).png
madeira/madeira_09.jpg,madeira,File:Blue painted planks spec 8k (Rob Tuytel via Poly Haven).png,Rob Tuytel,CC0,https://commons.wikimedia.org/wiki/File:Blue_painted_planks_spec_8k_(Rob_Tuytel_via_Poly_Haven).png
madeira/madeira_14.jpg,madeira,File:Roof planks rough 8k (JPG).jpg,"Rico Cilliers (Processing)
Charlotte Baglioni (Scanning)
Dimitrios Savva
Jenelle van Heerden (Scanning)
Amal Kumar
Rob Tuytel
Dario Barresi (Processing)",CC0,https://commons.wikimedia.org/wiki/File:Roof_planks_rough_8k_(JPG).jpg
paralelepipedo/paralelepipedo_00.jpg,paralelepipedo,File:Cobblestones.JPG,THOMAS,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Cobblestones.JPG
paralelepipedo/paralelepipedo_01.jpg,paralelepipedo,File:Pavement made of cobblestone of quartz porphyr.jpg,User:Nino Barbieri,CC BY 2.5,https://commons.wikimedia.org/wiki/File:Pavement_made_of_cobblestone_of_quartz_porphyr.jpg
paralelepipedo/paralelepipedo_04.jpg,paralelepipedo,File:Cobblestones & moss.jpg,Herzi Pinki,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Cobblestones_%26_moss.jpg
paralelepipedo/paralelepipedo_05.jpg,paralelepipedo,"File:Wooden Cobblestones, Passage Saint-Maur, Paris - 01.jpg",Poulpy,CC BY-SA 3.0,"https://commons.wikimedia.org/wiki/File:Wooden_Cobblestones,_Passage_Saint-Maur,_Paris_-_01.jpg"
paralelepipedo/paralelepipedo_08.jpg,paralelepipedo,"File:Lisboa, varios 04.jpg",LBM1948,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Lisboa,_varios_04.jpg"
telha/telha_04.jpg,telha,File:Roof tiles with lichen.jpg,Øyvind Holmstad,CC0,https://commons.wikimedia.org/wiki/File:Roof_tiles_with_lichen.jpg
telha/telha_06.jpg,telha,File:Roof tiles with lichen-3.jpg,Øyvind Holmstad,CC0,https://commons.wikimedia.org/wiki/File:Roof_tiles_with_lichen-3.jpg
telha/telha_07.jpg,telha,"File:""Roof Tiles"" 5859.jpg",Ainslie,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:%22Roof_Tiles%22_5859.jpg
telha/telha_08.jpg,telha,File:Roof tiles packed in crate 1.jpg,W.carter,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Roof_tiles_packed_in_crate_1.jpg
telha/telha_11.jpg,telha,File:Roof tiles - Flickr - Stiller Beobachter.jpg,"Stiller Beobachter from Ansbach, Germany",CC BY 2.0,https://commons.wikimedia.org/wiki/File:Roof_tiles_-_Flickr_-_Stiller_Beobachter.jpg
tijolo/tijolo_01.jpg,tijolo,File:Brick wall close-up view.jpg,Pawel Wozniak,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Brick_wall_close-up_view.jpg
tijolo/tijolo_02.jpg,tijolo,File:Red brick wall texture.JPG,M0tty,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Red_brick_wall_texture.JPG
tijolo/tijolo_03.jpg,tijolo,File:Surfaces vertical brick wall closeup view.JPG,Tomwsulcer,CC0,https://commons.wikimedia.org/wiki/File:Surfaces_vertical_brick_wall_closeup_view.JPG
tijolo/tijolo_07.jpg,tijolo,File:Red-brick-wall-texture-3.jpg,MartinThoma,CC0,https://commons.wikimedia.org/wiki/File:Red-brick-wall-texture-3.jpg
tijolo/tijolo_08.jpg,tijolo,File:Red-brick-wall-texture-5.jpg,MartinThoma,CC0,https://commons.wikimedia.org/wiki/File:Red-brick-wall-texture-5.jpg
